name,year,oil_prod_mill_sm3,deflator,price,price_l1,price_l2,price_l3,price_l4,price_l5,price_l6,price_l7,price_l8,real_invest_mill_nok_2010,in_place_oil_mill_sm3,recoverable_oil,pdo_approved_date,producing_date,shutdown_date,shutdown,prod_year,cost_index
SLEIPNER ØST,2000,0.0,80.8989663311122,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,27.691634713867,440.0550663934617,0.0,0.2,15.12.1986,24.08.1993,,False,7,100.00833333333333
SLEIPNER ØST,2001,0.0,82.7426835695228,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,23.877163241484837,350.48416064041913,0.0,0.2,15.12.1986,24.08.1993,,False,8,89.14166666666668
SLEIPNER ØST,2002,0.0,84.0129382587567,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,21.7310580616529,370.18107739802116,0.0,0.2,15.12.1986,24.08.1993,,False,9,83.725
SLEIPNER ØST,2003,0.0,85.6881251271034,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,22.90416268844224,75.85648525228417,0.0,0.2,15.12.1986,24.08.1993,,False,10,85.64166666666667
SLEIPNER ØST,2004,0.0,88.04447180829193,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,27.232552147322263,224.88635110575177,0.0,0.2,15.12.1986,24.08.1993,,False,11,103.525
SLEIPNER ØST,2005,0.0,90.87712250590259,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,24.806240399059625,326.8149252642869,0.0,0.2,15.12.1986,24.08.1993,,False,12,135.09166666666667
SLEIPNER ØST,2006,0.0,93.6695321591134,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,16.403117602802734,344.82930847922927,0.0,0.2,15.12.1986,24.08.1993,,False,13,156.12500000000003
SLEIPNER ØST,2007,0.0,96.1620284975459,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,22.562376356034985,523.0754881723784,0.0,0.2,15.12.1986,24.08.1993,,False,14,152.07500000000005
SLEIPNER ØST,2008,0.0,98.04837554103632,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,35.25693997530201,980.1284260928844,0.0,0.2,15.12.1986,24.08.1993,,False,15,210.6916666666667
SLEIPNER ØST,2009,0.0,98.79296441592571,62.24127432913394,98.7752213798446,75.35718737656343,69.54947373496447,59.88122404491713,43.42123839784289,33.70653746613997,29.713677262955862,29.549440440200854,568.8664201166578,0.0,0.2,15.12.1986,24.08.1993,,False,16,209.725
